symbol,entry_date,entry_price,exit_date,exit_price,shares,reason
GODFRYPHLP.NS,2024-07-15,4738.9842499999995,2024-07-16,4435.410247558594,4,early
TATACONSUM.NS,2024-07-18,1179.927283691406,2024-07-19,1172.2413801269531,39,early
PIIND.NS,2024-07-22,4012.1081977539056,2024-07-25,4004.091997558594,10,early
DEEPAKFERT.NS,2024-07-24,842.9921744384765,2024-07-30,967.78125,25,target
IDBI.NS,2024-07-24,97.59749999999998,2024-08-01,99.90999213409425,226,early
AARTIIND.NS,2024-07-30,743.5427877807616,2024-08-01,740.7585,41,early
ICICIGI.NS,2024-07-25,1962.4604999999997,2024-08-02,1981.3167487792969,21,early
PPLPHARMA.NS,2024-08-07,179.51933633422848,2024-08-09,181.33848426818844,126,early
JUBLINGREA.NS,2024-08-07,671.1705,2024-08-13,663.5358121948242,29,early
AUROPHARMA.NS,2024-08-07,1466.6151744384763,2024-08-20,1535.7627487792968,28,target
ABSLAMC.NS,2024-08-20,752.1514244384765,2024-08-22,748.2010621948242,37,early
GLAXO.NS,2024-08-21,3064.5114011230467,2024-08-22,2911.935247558594,9,early
POLICYBZR.NS,2024-08-16,1693.6419011230466,2024-08-27,1776.1720012207031,11,early
JINDALSAW.NS,2024-08-22,344.34399999999994,2024-08-27,347.277375,67,early
GRANULES.NS,2024-08-28,707.1564622192382,2024-09-02,683.1661256103515,51,early
IEX.NS,2024-08-28,203.71350450134278,2024-09-02,203.20659365844725,158,early
BBTC.NS,2024-09-03,2676.42375,2024-09-06,2623.274002441406,8,early
JUBLINGREA.NS,2024-09-04,743.0923255615234,2024-09-06,714.03525,32,early
NAVA.NS,2024-09-12,517.1165755615234,2024-09-16,553.2461878051757,62,target
HSCL.NS,2024-09-10,563.4128255615234,2024-09-17,640.0093743896484,45,target
SHRIRAMFIN.NS,2024-09-12,680.8301744384764,2024-09-18,714.2250624389649,62,target
MANYAVAR.NS,2024-09-23,1357.3559999999998,2024-09-25,1316.482248779297,25,early
DIXON.NS,2024-09-16,14004.290104492185,2024-09-30,13789.147245117187,2,early
TATACOMM.NS,2024-09-25,2129.8276511230465,2024-09-30,2132.61525,18,early
MOTHERSON.NS,2024-09-26,142.12865048217773,2024-10-03,135.81072386169433,216,early
IPCALAB.NS,2024-10-08,1539.2877499999997,2024-10-10,1588.459998779297,23,early
TRENT.NS,2024-10-08,8049.992145507812,2024-10-10,8020.821247558593,4,early
OBEROIRLTY.NS,2024-10-14,1999.797848876953,2024-10-17,1901.7962512207032,15,early
FLUOROCHEM.NS,2024-10-10,4664.40975,2024-10-23,4383.212497558594,4,early
ABSLAMC.NS,2024-11-27,884.3834999999999,2024-12-03,867.6814378051757,34,early
AFFLE.NS,2024-12-02,1737.9361511230468,2024-12-05,1771.0771256103515,14,early
JYOTICNC.NS,2024-12-03,1323.872598876953,2024-12-06,1338.90975,14,early
360ONE.NS,2024-12-10,1199.5984244384765,2024-12-19,1224.1246256103516,23,early
KFINTECH.NS,2024-12-18,1330.0286511230468,2024-12-20,1443.0555,18,target
CAPLIPOINT.NS,2024-12-27,2602.7500522460937,2024-12-31,2498.149252441406,10,early
LAURUSLABS.NS,2024-12-31,603.3027122192382,2024-12-31,602.0973121948242,71,forced
